"Goals","Team","Opponent","Year","GroupStage","GDP","MarketValue","FifaRank","UefaPoints","CLPlayers"
1,"Italy","Croatia",2012,1,0.919729510561659,0.663294217410264,4,46564,-1
1,"Croatia","Italy",2012,1,-0.919729510561659,-0.663294217410264,-4,-46564,1
4,"Spain","Ireland",2012,1,-0.384080265616138,2.22558521615236,-17,100263,14
0,"Ireland","Spain",2012,1,0.384080265616138,-2.22558521615236,17,-100263,-14
2,"Sweden","England",2012,1,0.389234038814028,-1.16092455075742,11,-56409,-2
3,"England","Sweden",2012,1,-0.389234038814028,1.16092455075742,-11,56409,2
0,"Ukraine","France",2012,1,-2.49762120478965,-1.15211584383925,38,-7866,-2
2,"France","Ukraine",2012,1,2.49762120478965,1.15211584383925,-38,7866,2
1,"Greece","Russia",2012,1,0.734126170375282,-0.661043935175528,2,-21382,0
0,"Russia","Greece",2012,1,-0.734126170375282,0.661043935175528,-2,21382,0
1,"Czech Republic","Poland",2012,1,0.412041173421905,0.170572664304872,-35,10425,1
0,"Poland","Czech Republic",2012,1,-0.412041173421905,-0.170572664304872,35,-10425,-1
2,"Portugal","Netherlands",2012,1,-0.809456771438334,0.198251583305695,6,17519,2
1,"Netherlands","Portugal",2012,1,0.809456771438334,-0.198251583305695,-6,-17519,-2
1,"Denmark","Germany",2012,1,0.314835102705221,-1.66400626125182,6,-61577,-10
2,"Germany","Denmark",2012,1,-0.314835102705221,1.66400626125182,-6,61577,10
2,"Italy","Ireland",2012,1,-0.270095120918466,1.42672793069838,-6,64989,0
0,"Ireland","Italy",2012,1,0.270095120918466,-1.42672793069838,6,-64989,0
0,"Croatia","Spain",2012,1,-0.805744365863987,-1.46215150286425,7,-81838,-13
1,"Spain","Croatia",2012,1,0.805744365863987,1.46215150286425,-7,81838,13
1,"England","Ukraine",2012,1,2.36629477032122,1.29499113204872,-46,31401,1
0,"Ukraine","England",2012,1,-2.36629477032122,-1.29499113204872,46,-31401,-1
2,"Sweden","France",2012,1,0.257907604345592,-1.01804926254795,3,-32874,-3
0,"France","Sweden",2012,1,-0.257907604345592,1.01804926254795,-3,32874,3
0,"Czech Republic","Portugal",2012,0,-0.09195170675574,-1.20488148226215,17,-20157,-3
1,"Portugal","Czech Republic",2012,0,0.09195170675574,1.20488148226215,-17,20157,3
4,"Germany","Greece",2012,0,0.47977181766448,1.70174658923467,-12,50477,10
2,"Greece","Germany",2012,0,-0.47977181766448,-1.70174658923467,12,-50477,-10
2,"Spain","France",2012,0,-0.307448343382864,0.660481391541963,-13,52964,11
0,"France","Spain",2012,0,0.307448343382864,-0.660481391541963,13,-52964,-11
0,"England","Italy",2012,0,0.0621367642167563,0.28125118212149,-6,5845,2
0,"Italy","England",2012,0,-0.0621367642167563,-0.28125118212149,6,-5845,-2
0,"Portugal","Spain",2012,0,-0.367281944528518,-0.667270283875649,9,-52631,-10
0,"Spain","Portugal",2012,0,0.367281944528518,0.667270283875649,-9,52631,10
1,"Germany","Italy",2012,0,0.187400502052396,0.438831249275283,-9,9738,10
2,"Italy","Germany",2012,0,-0.187400502052396,-0.438831249275283,9,-9738,-10
4,"Spain","Italy",2012,0,-0.113985144697672,0.798857285453983,-11,35274,14
0,"Italy","Spain",2012,0,0.113985144697672,-0.798857285453983,11,-35274,-14
2,"France","Romania",2016,1,1.35156647446947,2.09475577665288,-5,27366,4
1,"Romania","France",2016,1,-1.35156647446947,-2.09475577665288,5,-27366,-4
0,"Albania","Switzerland",2016,1,-2.96732676389351,-1.43828965623827,27,-27150,0
1,"Switzerland","Albania",2016,1,2.96732676389351,1.43828965623827,-27,27150,0
2,"Wales","Slovakia",2016,1,0.911655556759339,0.615731490632171,2,-8500,1
1,"Slovakia","Wales",2016,1,-0.911655556759339,-0.615731490632171,-2,8500,-1
